Индекс,Доходность,GARCH sigma,VaR 95% GARCH-t,ES 95% GARCH-t,Exception 95% GARCH-t,VaR 99% GARCH-t,ES 99% GARCH-t,Exception 99% GARCH-t,VaR 95% GARCH-normal,Exception 95% GARCH-normal,VaR 95% Historical,Exception 95% Historical,VaR 99% Historical,Exception 99% Historical
2025-08-11,-0.6636520570742596,0.7085882093910378,-1.1072127160560594,-1.5122302838558905,0,-1.74835836225633,-2.1814926566587136,0,-1.1328366690140197,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-12,-0.297565060847342,0.7086148188698469,-1.107255522502338,-1.5122882998501757,0,-1.7484252455236167,-2.1815758053361156,0,-1.1328804377117498,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-13,0.5649055228994135,0.6963283348974293,-1.0874903583707383,-1.4855003800625135,0,-1.7175430100075033,-2.14318328740837,0,-1.1126709699872377,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-14,-0.6900231660786712,0.6904023229550159,-1.0779572324617666,-1.4725800415075232,0,-1.7026479027589403,-2.1246658238077263,0,-1.1029235477504014,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-15,-0.3274845135632703,0.6927690614650021,-1.0817645849322919,-1.4777401834575072,0,-1.708596730449151,-2.132061352982624,0,-1.1068164861725978,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-18,-0.222983095672595,0.6818643173549781,-1.0642222141749964,-1.4539648372168672,0,-1.6811875158516534,-2.0979864634795375,0,-1.0888797782722472,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-19,0.016521452602055366,0.6692373764236318,-1.0439093597775668,-1.42643462746835,0,-1.6494495373896867,-2.058530093604511,0,-1.0681103086840202,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-20,0.6138572183024879,0.6548563106814056,-1.0207746594499112,-1.3950799423990745,0,-1.6133025436507813,-2.013592475522073,0,-1.0444555605384918,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-21,-0.421965426062658,0.6530398888514712,-1.0178525968255288,-1.391119642414956,0,-1.60873694401507,-2.0079165630456752,0,-1.0414678125034504,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-22,0.9015722823650837,0.6466801005029424,-1.0076216584355793,-1.3772535517962436,0,-1.592751534189703,-1.9880436450704677,0,-1.0310068915717292,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-25,-0.26468285912538353,0.6600411930254091,-1.0291155363649278,-1.4063844142603033,0,-1.626334812119964,-2.0297940746770697,0,-1.0529839330673427,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-26,0.333733937084498,0.6491514903103924,-1.0115973625741328,-1.3826418624044403,0,-1.598963404262307,-1.9957661861735188,0,-1.0350719660601242,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-27,0.04329474948390711,0.6388194864312426,-0.9949763542418738,-1.3601152476477842,0,-1.572993779602754,-1.9634809819564054,0,-1.018077332005828,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-28,0.6974234969999794,0.6256265851376545,-0.9737530441374408,-1.3313510883966455,0,-1.5398332524898652,-1.9222561123704327,0,-0.9963769404630566,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-08-29,0.1269915130505194,0.6293262198370019,-0.9797046155734775,-1.3394173112307985,0,-1.5491323318982073,-1.9338166444021898,0,-1.0024622980166737,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-02,0.8067817693165323,0.6168388032809676,-0.959616212873099,-1.3121913030571721,0,-1.5177450497484075,-1.894796257033839,0,-0.9819223256032269,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-03,0.9360813733579413,0.6269166598147873,-0.9758283764939387,-1.3341638065875217,0,-1.543075871786161,-1.9262873075668079,0,-0.9984989244747767,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-04,0.16012104738953162,0.6440465974611397,-1.0033851640911313,-1.3715117896775815,0,-1.5861321904171533,-1.979814536322012,0,-1.0266751645418322,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-05,1.419529662844267,0.6312350016716409,-0.9827752569659013,-1.3435789814688621,0,-1.5539300795938487,-1.9397811612624283,0,-1.0056019647404388,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-08,1.228038425938577,0.6861964377760923,-1.071191260108186,-1.4634100531640677,0,-1.6920763562578551,-2.1115233721106934,0,-1.0960054822593073,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-09,-0.3984383380358276,0.718476126316355,-1.1231193254153569,-1.5337886667144118,0,-1.7732117686447584,-2.2123901883427597,0,-1.1491008450316225,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-10,0.46430512574437943,0.708268160878457,-1.1066978566873877,-1.511532489930271,0,-1.747553916202903,-2.180492576547545,0,-1.1323102360573005,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-11,0.25940090994837994,0.6985453500661413,-1.0910568521528659,-1.4903340838821588,0,-1.7231155061534034,-2.1501109645861485,0,-1.1163176354285,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-12,-0.11734561084755639,0.6847573107852031,-1.068876148539653,-1.4602723598676985,0,-1.6884590920535467,-2.1070264217283015,0,-1.0936383290086995,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-15,0.6349564790517065,0.6705405041188106,-1.0460056904151571,-1.4292758048344618,0,-1.652724965614753,-2.06260207656657,0,-1.070253762999816,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-16,0.20547923036318788,0.6687013107144375,-1.043046995349197,-1.425265856544866,0,-1.6481021293337599,-2.0568550080066386,0,-1.0672285590579675,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-17,-0.5143624121541929,0.6553810974665412,-1.0216188795673657,-1.396224122160949,0,-1.6146216019859962,-2.015232317001685,0,-1.0453187579853982,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-18,-0.7188789144443838,0.6521779154463178,-1.016465947409131,-1.389240302931977,0,-1.6065703627729233,-2.005223088697368,0,-1.040049992421648,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-19,0.43411538445267855,0.6584987547882911,-1.0266342288575945,-1.4030214739865765,0,-1.6224578737692794,-2.024974299727301,0,-1.0504468479386706,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-22,0.6832484277423589,0.6502550511656016,-1.0133726517033403,-1.3850479290819788,0,-1.6017372186679126,-1.9992145673387969,0,-1.0368871621353766,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-23,0.552288279533047,0.6517261877893703,-1.0157392569008952,-1.3882554121961619,0,-1.6054349394962308,-2.003811540673804,0,-1.0393069665467238,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-24,-0.6455545437122373,0.6476846089134697,-1.0092376027244594,-1.3794436568570279,0,-1.595276379001405,-1.9911825094718958,0,-1.032659160874088,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-25,0.20804288449165242,0.6506167228415926,-1.013954469907292,-1.3858364729703416,0,-1.6026462850780048,-2.0003447105380725,0,-1.037482059103396,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-26,0.24336134733979986,0.6380638953376204,-0.9937608411613744,-1.3584678509105514,0,-1.5710945916691268,-1.9611199285685477,0,-1.0168344952549913,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-29,1.2278220179140795,0.6265291724611313,-0.975205028824978,-1.3333189774100471,0,-1.542101917338169,-1.9250764961413904,0,-0.9978615644957177,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-09-30,0.28157300420504544,0.6652195577747356,-1.0374459284798325,-1.4176746759696441,0,-1.6393506985310844,-2.045975307804565,0,-1.06150158510695,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-01,0.2076757509799014,0.6531715768239029,-1.0180644421667275,-1.3914067584727654,0,-1.609067943427791,-2.0083280585438015,0,-1.0416844199425306,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-02,-0.028545957531092032,0.6405095176560082,-0.9976950933555214,-1.3637999812940655,0,-1.5772416948265042,-1.9687619520240764,0,-1.0208571859955449,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-03,0.3062509291113113,0.6273830558519154,-0.9765786639028394,-1.3351806784330327,0,-1.5442481642251296,-1.9277446910018958,0,-0.9992660776880428,0,-1.1610133408531866,0,-1.7478223970656872,0
2025-10-06,0.5436211517902745,0.6174370164079667,-0.9605785533333443,-1.3134955724720798,0,-1.5192486661384415,-1.896665539430209,0,-0.9829062986348612,0,-1.1610133408531866,0,-1.7478223970656872,0
